Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,Mileage,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Power_Windows,Power_Seats,Power,Torque,Odometer,Speedometer,Tachometer,Seating_Capacity,Seats_Material,Front_Track,Rear_Track,Wheels_Size,Kerb_Weight,Gross_Vehicle_Weight,Type,Start_/_Stop_Button,12v_Power_Outlet,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty_Years,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range,Basic_Warranty_Distance
Volvo,Xc40,T4 R-Design,3990000,1969,5,4,AWD,6,"Front, Longitudinal",Injection,54,Petrol,1652,4425,1863,SUV,5,0,8,211,Ventilated Disc,Ventilated Disc,All Windows,Yes,190PS,300Nm,Digital,Digital,Analog,5,Leather,,,235/55 R18,,,Automatic,Yes,Yes,Yes,Yes,0,Yes,Internal,432 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Automatic,Analog + Digital,Yes,5.7 meter,Yes,Driver & Front Passenger,No,Yes,Yes,Yes,No,Yes,Yes,"Comfort, Eco, Sport",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Drive side airbag, Driver curtain airbag, Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,8,Rear sensors with camera,Yes,Yes,Yes,Yes,No,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,No,Yes,Yes,No,Yes,All,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,No,,,0
Mini,Clubman,Cooper S,4120000,1998,4,4,FWD,4,"Front, Longitudinal",Injection,44,Petrol,1441,4253,1801,Hatchback,4,12.3,8,146,Ventilated Disc,Ventilated Disc,Only Front Windows,Yes,192PS,280NM,Digital,Analog,Analog,5,Leather,1564 mm,1565 mm,195 / 55 R16,1960 kg,,Manual,Yes,Yes,Yes,Yes,0,Yes,"With Remote, Internal",360 litres,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,,Yes,"Internal, Remote",Yes,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,No,No,Yes,Yes,No,No,No,Normal,Yes,No,No,No,Yes,No,No,Yes,Yes,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Rear sensors with camera,Yes,Yes,No,No,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,No,No,,,0
Audi,A4,Premium Plus 35 Tfsi,4149000,1395,4,4,FWD,4,"Front, Longitudinal",Injection,54,Petrol,1427,4726,1842,Sedan,4,0,7,160,Ventilated Disc,Ventilated Disc,All Windows,"Yes, with memory",150PS,250Nm,Digital,Digital,Analog,5,Leather,1572 mm,1555 mm,,1450 kg,1945 kg,DCT,Yes,Yes,Yes,Yes,0,Yes,With Remote,480 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Manual,Digital,Automatic,Digital,Yes,,Yes,Driver & Front Passenger,No,Yes,Yes,Yes,No,Yes,Yes,"Normal, Comfort, Eco, Sport",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",Yes,Yes,Yes,Yes,8,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,Only front,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,0
Audi,A4,Technology 35 Tfsi,4507000,1395,4,4,FWD,4,"Front, Longitudinal",Injection,54,Petrol,1427,4726,1842,Sedan,4,0,7,160,Ventilated Disc,Ventilated Disc,All Windows,"Yes, with memory",150PS,250Nm,Digital,Digital,Analog,5,Leather,1572 mm,1555 mm,,1450 kg,1945 kg,DCT,Yes,Yes,Yes,Yes,0,Yes,With Remote,480 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Manual,Digital,Automatic,Digital,Yes,,Yes,Driver & Front Passenger,No,Yes,Yes,Yes,No,Yes,Yes,"Normal, Comfort, Eco, Sport",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",Yes,Yes,Yes,Yes,8,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,Only front,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,0
Mini,John Cooper Works,Hatch,4350000,1998,4,4,FWD,6,"Front, Transverse",Injection,44,Petrol,1414,3874,1727,"Sports, Hatchback",3,16.47,8,160,Ventilated Disc,Ventilated Disc,All Windows,"Yes, with memory",231hp,320 Nm,Digital,Digital,Digital,2,Leather,,,"43.66 cm/17"" Light Alloy Wheels JCW Track Spoke, Black",1330 kg,1710 kg,Automatic,Yes,Yes,Yes,Yes,0,Yes,"Manual, With Remote",455 litres,Yes,Yes,Yes,Yes,Yes,Yes,Front & Rear,Yes,,Yes,"Internal, Remote",Digital,Automatic,Digital,Yes,,Yes,Driver & Front Passenger,No,Yes,No,Yes,No,Yes,Yes,"Eco, Sport",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,Yes,,,0
Jaguar,Xe,S Petrol,4498000,1997,4,4,RWD,6,"Front, Transverse",Injection,61,Petrol,1416,4691,1850,Sedan,4,11,8,125,Ventilated Disc,Ventilated Disc,All Windows,Power seats,250PS,365Nm,Digital,Analog,Analog,5,Leather,1597 mm,1598 mm,205 / 55 R17,1639 kg,2150 kg,Automatic,Yes,Yes,Yes,Yes,0,Yes,"Internal, With Remote",455 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Automatic,Analog + Digital,Yes,11.22 meter,Yes,Driver & Front Passenger,No,Yes,Yes,Yes,No,No,Yes,"Normal, Comfort, Eco, Sport",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag",Yes,Yes,Yes,Yes,6,Front and rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,Only front,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,0
Jaguar,Xe,S Diesel,4498000,1999,4,4,RWD,6,"Front, Transverse",Injection,56,Diesel,1416,4691,1850,Sedan,4,11,8,125,Ventilated Disc,Ventilated Disc,All Windows,Power seats,180PS,430NM,Digital,Analog,Analog,4,Leather,1597 mm,1598 mm,205 / 55 R17,1611 kg,2190 kg,Automatic,Yes,Yes,Yes,Yes,0,Yes,"Internal, With Remote",455 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Automatic,Analog + Digital,Yes,11.22 meter,Yes,Driver & Front Passenger,No,Yes,Yes,Yes,No,No,Yes,"Normal, Comfort, Eco, Sport",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag",Yes,Yes,Yes,Yes,6,Front and rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,Only front,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,0
Jaguar,Xe,Se Diesel,4633000,1999,4,4,RWD,6,"Front, Transverse",Injection,56,Diesel,1416,4691,1850,Sedan,4,11,8,125,Ventilated Disc,Ventilated Disc,All Windows,"Yes, with memory",180PS,430NM,Digital,Analog,Analog,4,Leather,1597 mm,1598 mm,205 / 55 R17,1611 kg,2190 kg,Automatic,Yes,Yes,Yes,Yes,0,Yes,"Internal, With Remote",455 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Automatic,Analog + Digital,Yes,11.22 meter,Yes,Driver & Front Passenger,No,Yes,Yes,Yes,No,No,Yes,"Normal, Comfort, Eco, Sport",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Drive side airbag, Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,6,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"With gear shift paddles, Multifunction Steering Wheel",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,Only front,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,0
Jaguar,Xe,Se Petrol,4633000,1997,4,4,RWD,6,"Front, Transverse",Injection,61,Petrol,1416,4691,1850,Sedan,4,11,8,125,Ventilated Disc,Ventilated Disc,All Windows,"Yes, with memory",250PS,365Nm,Digital,Analog,Analog,5,Leather,1597 mm,1598 mm,205 / 55 R17,1639 kg,2150 kg,Automatic,Yes,Yes,Yes,Yes,0,Yes,"Internal, With Remote",455 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Automatic,Analog + Digital,Yes,11.22 meter,Yes,Driver & Front Passenger,No,Yes,Yes,Yes,No,No,Yes,"Normal, Comfort, Eco, Sport",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Drive side airbag, Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,6,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"With gear shift paddles, Multifunction Steering Wheel",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,Only front,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,0
Jaguar,Xf,2.0 Prestige,5436329,1999,4,4,RWD,4,"Front, Longitudinal",Injection,74,Petrol,1460,4961,2091,Sedan,4,5.7,8,135,Ventilated Disc,Ventilated Disc,All Windows,"Yes, with memory",247PS,340Nm,Analog,Analog,Analog,5,Leather,1605 mm,1594 mm,235/55R17,1730 kg,2210 kg,Automatic,Yes,Yes,Yes,Yes,3,Yes,Manual,505 litres,Yes,Yes,Yes,Digital,Yes,Yes,Front & Rear,Yes,,Yes,Internal,Yes,Automatic,Analog,Yes,11.61 meter,Yes,Driver & Front Passenger,No,No,Yes,Yes,No,No,No,Normal,Yes,No,No,No,Yes,No,No,Yes,Yes,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",Yes,Yes,Yes,Yes,6,Front & rear sensors with 360 degree view,Yes,Yes,No,No,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,All,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,No,,,16000000000
